INFO 2024-10-07 01:49:00,277 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 01:49:00,277 autoreload Waiting for apps ready_event.
DEBUG 2024-10-07 01:49:38,104 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-07 01:49:38,541 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-07 01:49:38,549 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\evidai-be\evidai\locale with glob **/*.mo.
DEBUG 2024-10-07 01:49:38,549 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\evidai-be\evidai\evidai_chat\locale with glob **/*.mo.
DEBUG 2024-10-07 01:49:38,549 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-07 01:49:38,549 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-10-07 01:49:38,549 autoreload Watching dir C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-10-07 01:49:41,038 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\google\ai\generativelanguage_v1beta\services\model_service\transports\grpc.py first seen with mtime 1720528748.0368805
DEBUG 2024-10-07 01:49:41,038 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\google\protobuf\message.py first seen with mtime 1720528629.3919563
DEBUG 2024-10-07 01:49:41,038 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\pandas\io\pytables.py first seen with mtime 1720528684.0829477
DEBUG 2024-10-07 01:49:41,038 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\huggingface_hub\inference\_generated\types\audio_classification.py first seen with mtime 1725344056.802582
DEBUG 2024-10-07 01:49:41,046 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sentence_transformers\datasets\DenoisingAutoEncoderDataset.py first seen with mtime 1725357588.4203227
DEBUG 2024-10-07 01:49:41,046 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\pandas\core\ops\array_ops.py first seen with mtime 1720528683.972565
DEBUG 2024-10-07 01:49:41,046 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\distributions\wishart.py first seen with mtime 1725344396.0169754
DEBUG 2024-10-07 01:49:41,046 autoreload File C:\Users\Hemali\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1701967814.0
DEBUG 2024-10-07 01:49:41,046 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\scipy\sparse\extract.py first seen with mtime 1725272017.0061963
DEBUG 2024-10-07 01:49:41,054 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\xlm\__init__.py first seen with mtime 1725344067.0029142
DEBUG 2024-10-07 01:49:41,054 autoreload File C:\Users\Hemali\AppData\Local\Programs\Python\Python312\Lib\timeit.py first seen with mtime 1701967816.0
DEBUG 2024-10-07 01:49:41,054 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\xmod\__init__.py first seen with mtime 1725344067.0528276
DEBUG 2024-10-07 01:49:41,062 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\scipy\sparse\linalg\_eigen\_svds.py first seen with mtime 1725272017.2417147
DEBUG 2024-10-07 01:49:41,062 autoreload File C:\Users\Hemali\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1717683852.0
DEBUG 2024-10-07 01:49:41,062 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\datasets\formatting\formatting.py first seen with mtime 1725943707.5201402
DEBUG 2024-10-07 01:49:41,062 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\utils\peft_utils.py first seen with mtime 1725344067.2861638
DEBUG 2024-10-07 01:49:41,062 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\huggingface_hub\inference\_generated\types\text_generation.py first seen with mtime 1725344056.8524685
DEBUG 2024-10-07 01:49:41,070 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\scipy\optimize\_direct_py.py first seen with mtime 1725272016.4054694
DEBUG 2024-10-07 01:49:41,070 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\musicgen\__init__.py first seen with mtime 1725344065.3527286
DEBUG 2024-10-07 01:49:41,070 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\bloom\__init__.py first seen with mtime 1725344063.1564338
DEBUG 2024-10-07 01:49:41,070 autoreload File C:\Users\Hemali\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1717683852.0
DEBUG 2024-10-07 01:49:41,070 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sympy\geometry\plane.py first seen with mtime 1725344298.3589928
DEBUG 2024-10-07 01:49:41,078 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\ao\nn\intrinsic\quantized\dynamic\modules\__init__.py first seen with mtime 1725344397.507759
DEBUG 2024-10-07 01:49:41,078 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\PIL\__init__.py first seen with mtime 1720528631.3244193
DEBUG 2024-10-07 01:49:41,078 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\cryptography\hazmat\_oid.py first seen with mtime 1720528727.0529912
DEBUG 2024-10-07 01:49:41,078 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sympy\calculus\finite_diff.py first seen with mtime 1725344297.3590405
DEBUG 2024-10-07 01:49:41,086 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\rt_detr\__init__.py first seen with mtime 1725344066.052787
DEBUG 2024-10-07 01:49:41,086 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\utils\_pytree.py first seen with mtime 1725344364.6088605
DEBUG 2024-10-07 01:49:41,086 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sentence_transformers\models\tokenizer\__init__.py first seen with mtime 1725357588.5620973
DEBUG 2024-10-07 01:49:41,086 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\patchtst\configuration_patchtst.py first seen with mtime 1725344065.602694
DEBUG 2024-10-07 01:49:41,094 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\ao\quantization\fake_quantize.py first seen with mtime 1725344397.3203013
DEBUG 2024-10-07 01:49:41,094 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sympy\polys\domains\gmpyintegerring.py first seen with mtime 1725344300.175725
DEBUG 2024-10-07 01:49:41,094 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\swin2sr\__init__.py first seen with mtime 1725344066.3529093
DEBUG 2024-10-07 01:49:41,094 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\google\api_core\gapic_v1\config.py first seen with mtime 1720528739.1864443
DEBUG 2024-10-07 01:49:41,094 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\transformers\models\bert_japanese\__init__.py first seen with mtime 1725344063.0035117
DEBUG 2024-10-07 01:49:41,102 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1720182468.5931306
DEBUG 2024-10-07 01:49:41,102 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\torch\quantization\observer.py first seen with mtime 1725344364.9703896
DEBUG 2024-10-07 01:49:41,102 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\huggingface_hub\inference\_generated\types\text_to_image.py first seen with mtime 1725344056.8524685
DEBUG 2024-10-07 01:49:41,110 autoreload File C:\Users\Hemali\Desktop\Hemali\EviDent\venv\Lib\site-packages\sentence_transformers\losses\ContrastiveLoss.py first seen with mtime 1725357588.4683704
